evaluation,accuracy_mean,accuracy_std,accuracy_delta_over_majority,macro_f1_mean,macro_f1_std,cv_majority_accuracy_mean,cv_majority_accuracy_std,overall_majority_baseline,n_raw_rows,n_analyzed_rows,n_dropped_rows,n_papers,n_splits,random_state,model,n_jobs,input_file,resolved_input_file,input_sha256,python_version,platform,numpy_version,pandas_version,sklearn_version,xgboost_version
random_stratified,0.774074074074074,0.0639954787731017,0.28535226956279586,0.7361533177963199,0.09578895946607636,0.48888888888888893,0.009072184232530303,0.48872180451127817,133,133,0,24,5,42,XGBClassifier,1,data\external\chen2026_nanoparticles\Nanoparticles_MBC.csv,C:\Projects\urtc-nanoparticle-2026\data\external\chen2026_nanoparticles\Nanoparticles_MBC.csv,a5d7a86865d67e406f31ad1c618cf4940467aa3acf785a2d81e6a7b250ca96c6,3.13.14,Windows-11-10.0.26200-SP0,2.4.6,3.0.5,1.9.0,3.4.0
grouped_by_ref,0.49002849002849,0.14594849593677092,0.0013066855172118585,0.34721335557633204,0.0910688063833414,0.48974358974358967,0.1676618206873113,0.48872180451127817,133,133,0,24,5,42,XGBClassifier,1,data\external\chen2026_nanoparticles\Nanoparticles_MBC.csv,C:\Projects\urtc-nanoparticle-2026\data\external\chen2026_nanoparticles\Nanoparticles_MBC.csv,a5d7a86865d67e406f31ad1c618cf4940467aa3acf785a2d81e6a7b250ca96c6,3.13.14,Windows-11-10.0.26200-SP0,2.4.6,3.0.5,1.9.0,3.4.0
