Ref,fold,n_rows,size_bucket,n_observed_classes,actual_moderate,actual_strong,actual_weak,coral_accuracy,coral_macro_f1,standardized_accuracy,standardized_macro_f1,uncorrected_accuracy,uncorrected_macro_f1,coral_minus_uncorrected_accuracy,coral_minus_standardized_accuracy,coral_minus_uncorrected_macro_f1,coral_minus_standardized_macro_f1
10.1080/21691401.2023.2268167,4,3,2-4 rows,1,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.14202/vetworld.2023.1301-1311,4,14,5+ rows,3,11,2,1,0.07142857142857142,0.044444444444444446,0.07142857142857142,0.044444444444444446,0.07142857142857142,0.05555555555555555,0.0,0.0,-0.011111111111111106,0.0
DOI: 10.1002/smll.202104160,4,4,2-4 rows,1,4,0,0,0.0,0.0,0.5,0.2222222222222222,0.75,0.2857142857142857,-0.75,-0.5,-0.2857142857142857,-0.2222222222222222
https://doi.org/10.1016/j.sdentj.2018.10.004,4,4,2-4 rows,1,4,0,0,0.0,0.0,1.0,0.3333333333333333,1.0,0.3333333333333333,-1.0,-1.0,-0.3333333333333333,-0.3333333333333333
https://doi.org/10.1038/s41598-019-50906-6,4,2,2-4 rows,1,2,0,0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,-1.0,0.0,-0.3333333333333333
https://doi.org/10.1038/s41598-019-54025-0,4,8,5+ rows,1,0,0,8,0.75,0.2857142857142857,0.0,0.0,0.0,0.0,0.75,0.75,0.2857142857142857,0.2857142857142857
https://doi.org/10.1038/s41598-022-17929-y,4,6,5+ rows,2,4,2,0,0.16666666666666666,0.09523809523809523,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.09523809523809523,0.09523809523809523
https://doi.org/10.1038/s41598-022-24514-w,4,1,1 row (CORAL identity fallback),1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://link.springer.com/article/10.1007/s00449-023-02905-1#Sec21,4,4,2-4 rows,1,0,0,4,1.0,0.3333333333333333,0.5,0.2222222222222222,1.0,0.3333333333333333,0.0,0.5,0.0,0.1111111111111111
https://pubs.rsc.org/en/content/articlelanding/2015/ra/c4ra12784f,4,2,2-4 rows,1,2,0,0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,-1.0,0.0,-0.3333333333333333,0.0
10.1007/s00430-017-0525-y,5,8,5+ rows,1,0,0,8,0.5,0.2222222222222222,0.875,0.3111111111111111,1.0,0.3333333333333333,-0.5,-0.375,-0.1111111111111111,-0.0888888888888889
10.1038/s41598-020-64127-9,5,3,2-4 rows,1,0,0,3,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.3333333333333333
10.1038/s41598-021-85584-,5,2,2-4 rows,1,0,2,0,0.0,0.0,0.0,0.0,0.5,0.2222222222222222,-0.5,0.0,-0.2222222222222222,0.0
"10.1049/iet-nbt.2014.0068
www.ietdl.org",5,12,5+ rows,2,7,5,0,0.3333333333333333,0.17777777777777778,0.4166666666666667,0.19607843137254902,0.25,0.14285714285714285,0.08333333333333331,-0.08333333333333337,0.034920634920634935,-0.018300653594771232
10.2147/IJN.S258319,5,9,5+ rows,3,4,3,2,0.2222222222222222,0.12121212121212122,0.2222222222222222,0.12121212121212122,0.2222222222222222,0.12121212121212122,0.0,0.0,0.0,0.0
10.3390/jfb14020112,5,4,2-4 rows,2,1,3,0,0.0,0.0,0.25,0.13333333333333333,0.0,0.0,0.0,-0.25,0.0,-0.13333333333333333
https://doi.org/10.1016/j.jallcom.2021.163073,5,12,5+ rows,2,9,0,3,0.5,0.3238095238095238,0.25,0.13333333333333333,0.4166666666666667,0.3111111111111111,0.08333333333333331,0.25,0.012698412698412709,0.1904761904761905
https://doi.org/10.1016/j.micpath.2024.106546,5,4,2-4 rows,1,0,0,4,1.0,0.3333333333333333,0.25,0.13333333333333333,0.75,0.2857142857142857,0.25,0.75,0.047619047619047616,0.19999999999999998
https://doi.org/10.1016/j.saa.2012.01.011,5,5,5+ rows,2,4,0,1,0.0,0.0,0.8,0.5079365079365079,0.8,0.2962962962962963,-0.8,-0.8,-0.2962962962962963,-0.5079365079365079
https://doi.org/10.1038/s41598-019-42112-1,5,2,2-4 rows,2,1,1,0,0.5,0.2222222222222222,0.5,0.2222222222222222,1.0,0.6666666666666666,-0.5,0.0,-0.4444444444444444,0.0
https://doi.org/10.1038/s41598-022-18379-2,5,1,1 row (CORAL identity fallback),1,1,0,0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,-1.0,0.0,-0.3333333333333333
https://doi.org/10.4274/tjps.52724,5,4,2-4 rows,1,0,0,4,1.0,0.3333333333333333,0.5,0.2222222222222222,0.75,0.2857142857142857,0.25,0.5,0.047619047619047616,0.1111111111111111
https://link.springer.com/article/10.1007/s13204-015-0460-4,5,2,2-4 rows,1,2,0,0,1.0,0.3333333333333333,0.0,0.0,0.5,0.2222222222222222,0.5,1.0,0.1111111111111111,0.3333333333333333
