metric,random_mean,random_std,grouped_mean,grouped_std,grouped_corrected_mean,grouped_corrected_std,leakage_drop,correction_gain,majority_baseline,cv_majority_accuracy_mean,cv_majority_accuracy_std,overall_majority_baseline,accuracy_delta_over_cv_majority,corrected_accuracy_delta_over_cv_majority,n_rows,n_papers,model
accuracy,0.7279,0.0426,0.3162,0.1222,0.3454,0.0617,0.4118,0.0293,0.4185,0.4185,0.1033,0.4181,-0.1024,-0.0731,342,65,XGBClassifier
f1_macro,0.7077,0.0483,0.2725,0.1291,0.3064,0.0576,0.4351,0.0339,0.4185,0.4185,0.1033,0.4181,,,342,65,XGBClassifier
