ridge,accuracy_mean,accuracy_std,cv_majority_accuracy_mean,cv_majority_accuracy_std,macro_f1_mean,macro_f1_std,n_rows,n_papers,majority_baseline,overall_majority_baseline,accuracy_minus_majority_baseline,input_sha256
0.01,0.377919863597613,0.16190638707817626,0.41854219948849103,0.10332373550097484,0.2870338742952759,0.12237498509935212,342,65,0.41854219948849103,0.41812865497076024,-0.04062233589087805,d7bb60ab6bb6388c59f76de3d724462749a0ff8aefefc44385bed6c20807464c
0.1,0.360230179028133,0.1526481704978884,0.41854219948849103,0.10332373550097484,0.2853477248573021,0.10805234165902654,342,65,0.41854219948849103,0.41812865497076024,-0.05831202046035805,d7bb60ab6bb6388c59f76de3d724462749a0ff8aefefc44385bed6c20807464c
1.0,0.39867860187553283,0.17892649248074025,0.41854219948849103,0.10332373550097484,0.3132626898861549,0.14387634629715929,342,65,0.41854219948849103,0.41812865497076024,-0.019863597612958195,d7bb60ab6bb6388c59f76de3d724462749a0ff8aefefc44385bed6c20807464c
10.0,0.3662830349531117,0.136531042799459,0.41854219948849103,0.10332373550097484,0.24891841413875992,0.09951054583676563,342,65,0.41854219948849103,0.41812865497076024,-0.05225916453537932,d7bb60ab6bb6388c59f76de3d724462749a0ff8aefefc44385bed6c20807464c
100.0,0.33976982097186703,0.11711631396771463,0.41854219948849103,0.10332373550097484,0.2165944349410171,0.0739170478259609,342,65,0.41854219948849103,0.41812865497076024,-0.078772378516624,d7bb60ab6bb6388c59f76de3d724462749a0ff8aefefc44385bed6c20807464c
