n_rows,n_species,n_papers,accuracy,majority_baseline,accuracy_delta_over_baseline,macro_f1_3class,true_strong,true_moderate,true_weak,population,frequency_bucket,row_proportion_within_population
177,3,57,0.3728813559322034,0.3954802259887006,-0.02259887005649719,0.3588553290287055,46,61,70,all_rows,>20,0.5175438596491229
97,12,40,0.29896907216494845,0.422680412371134,-0.12371134020618557,0.2649122807017544,19,37,41,all_rows,5-20,0.28362573099415206
68,31,22,0.19117647058823528,0.47058823529411764,-0.27941176470588236,0.15706214689265538,16,20,32,all_rows,<5,0.19883040935672514
177,3,57,0.3728813559322034,0.3954802259887006,-0.02259887005649719,0.3588553290287055,46,61,70,bacteria_only,>20,0.5412844036697247
88,11,38,0.29545454545454547,0.42045454545454547,-0.125,0.26514161220043575,17,34,37,bacteria_only,5-20,0.2691131498470948
62,28,21,0.1935483870967742,0.41935483870967744,-0.22580645161290325,0.16066557555919259,16,20,26,bacteria_only,<5,0.18960244648318042
