n_rows,n_species,n_papers,accuracy,majority_baseline,accuracy_delta_over_baseline,macro_f1_3class,true_strong,true_moderate,true_weak,organism_type,row_proportion
327,42,65,0.3058103975535168,0.40672782874617736,-0.10091743119266056,0.2863653897950706,79,115,133,bacterium,0.956140350877193
15,4,7,0.26666666666666666,0.6666666666666666,-0.39999999999999997,0.22875816993464052,2,3,10,fungus,0.043859649122807015
