evaluation,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,majority_baseline,accuracy_minus_majority_baseline,n_rows,n_papers,n_magpie_features_removed,input_sha256,python_version,sklearn_version,xgboost_version
full_features,0.33618925831202046,0.07079333114284314,0.303166124072048,0.05929110764957042,0.41812865497076024,-0.08193939665873978,342,65,22,d7bb60ab6bb6388c59f76de3d724462749a0ff8aefefc44385bed6c20807464c,3.13.5,1.6.1,3.2.0
without_magpie,0.34761295822676896,0.09068971806373585,0.31779364260276227,0.08372697098493607,0.41812865497076024,-0.07051569674399127,342,65,22,d7bb60ab6bb6388c59f76de3d724462749a0ff8aefefc44385bed6c20807464c,3.13.5,1.6.1,3.2.0
