evaluation,accuracy_mean,accuracy_std,cv_majority_accuracy_mean,cv_majority_accuracy_std,macro_f1_mean,macro_f1_std,n_rows,n_papers,n_single_row_papers,majority_baseline,overall_majority_baseline,accuracy_minus_majority_baseline,input_sha256,python_version,numpy_version,pandas_version,scipy_version,sklearn_version,xgboost_version
uncorrected,0.31615515771526004,0.12220553814020964,0.41854219948849103,0.10332373550097484,0.2725261341562685,0.12908875052812557,342,65,5,0.41854219948849103,0.41812865497076024,-0.10238704177323099,d7bb60ab6bb6388c59f76de3d724462749a0ff8aefefc44385bed6c20807464c,3.13.13,2.4.6,3.0.5,1.18.0,1.9.0,3.4.0
standardized,0.3454390451832907,0.06173929877152275,0.41854219948849103,0.10332373550097484,0.3064215913112977,0.05764560825715353,342,65,5,0.41854219948849103,0.41812865497076024,-0.07310315430520031,d7bb60ab6bb6388c59f76de3d724462749a0ff8aefefc44385bed6c20807464c,3.13.13,2.4.6,3.0.5,1.18.0,1.9.0,3.4.0
coral,0.39867860187553283,0.17892649248074025,0.41854219948849103,0.10332373550097484,0.3132626898861549,0.14387634629715929,342,65,5,0.41854219948849103,0.41812865497076024,-0.019863597612958195,d7bb60ab6bb6388c59f76de3d724462749a0ff8aefefc44385bed6c20807464c,3.13.13,2.4.6,3.0.5,1.18.0,1.9.0,3.4.0
