config,n_features,grouped_accuracy,grouped_accuracy_std,grouped_macro_f1,grouped_macro_f1_std,majority_baseline,overall_majority_baseline,script,platform
full_features,33,0.3162,0.1222,0.2725,0.1291,0.4185,0.4181,scripts/09_magpie_ablation.py,arm-macos
no_magpie,11,0.3601,0.1126,0.3107,0.1227,0.4185,0.4181,scripts/09_magpie_ablation.py,arm-macos
