material,fab_method,shape,diameter_nm,height_nm,spacing_nm,aspect_ratio,Ra_nm,Rq_nm,WCA_deg,strain,gram,motility,cell_shape,BE_pct,ref
Ti+nano-CeO2,hydrothermal methods,octahedra,29.1,29.1,,1.00,,,38,F. nucleatum,-,N,R,0.0,(12)
Ti,Hydrothermal etching,pore,22.2,55.5,95.9,0.40,,96.9,,S. aureus,+,N,S,60.0,(13)
Ti,Hydrothermal etching,pore,22.2,55.5,95.9,0.40,,96.9,,C.auris,-,N,S,64.0,(13)
Ti,Hydrothermal etching,pore,20.8,75.4,94.5,0.28,,84.2,,S. aureus,+,N,S,64.0,(13)
Ti,Hydrothermal etching,pore,20.8,75.4,94.5,0.28,,84.2,,C.auris,-,N,S,70.0,(13)
Ti,Hydrothermal etching,pore,24.2,106.4,140.1,0.23,,82.4,,S. aureus,+,N,S,64.0,(13)
Ti,Hydrothermal etching,pore,24.2,106.4,140.1,0.23,,82.4,,C.auris,-,N,S,72.0,(13)
Ti,Hydrothermal etching,pore,40.3,210.1,193.7,0.19,,104.6,,S. aureus,+,N,S,70.0,(13)
Ti,Hydrothermal etching,pore,40.3,210.1,193.7,0.19,,104.6,,C.auris,-,N,S,70.0,(13)
Ti,Reactive Ion Etching (RIE),tube,22,1480,10,0.01,32.89,43.87,24,S. aureus,+,N,S,42.0,(14)
Ti,Reactive Ion Etching (RIE),tube,53,3520,16,0.02,53.6,68.83,10,S. aureus,+,N,S,40.0,(14)
Ti,Reactive Ion Etching (RIE),tube,97,6200,25,0.02,82.53,110.67,7,S. aureus,+,N,S,50.0,(14)
Si,Reactive Ion Etching (RIE),pillar,63,280,62,0.23,10,,8,P. aeruginosa,-,M,R,89.0,(15)
Si,Reactive Ion Etching (RIE),pillar,63,280,62,0.23,10,,8,S. aureus,+,N,S,85.0,(15)
Si,Reactive Ion Etching (RIE),pillar,80,430,100,0.19,29,,12,P. aeruginosa,-,M,R,70.0,(15)
Si,Reactive Ion Etching (RIE),pillar,80,430,100,0.19,29,,12,S. aureus,+,N,S,65.0,(15)
Si,Reactive Ion Etching (RIE),pillar,93,612,140,0.15,66,,10,P. aeruginosa,-,M,R,82.0,(15)
Si,Reactive Ion Etching (RIE),pillar,93,612,140,0.15,66,,10,S. aureus,+,N,S,74.0,(15)
Si,Reactive Ion Etching (RIE),pillar,50,500,,0.10,,,0.8,P. aeruginosa,-,M,R,83.0,(16)
Si,Reactive Ion Etching (RIE),pillar,50,500,,0.10,,,0.8,S. aureus,+,N,S,53.0,(16)
Si,Reactive Ion Etching (RIE),pillar,50,500,,0.10,,,0.8,B. subtilis,+,M,R,90.0,(16)
Si,Reactive Ion Etching (RIE),pillar,50,390,130,0.13,,,0,B. subtilis,+,M,R,65.0,(17)
Si,Reactive Ion Etching (RIE),pillar,70,680,180,0.10,,,0,B. subtilis,+,M,R,75.0,(17)
Si,Reactive Ion Etching (RIE),pillar,220,3580,380,0.06,,,0,B. subtilis,+,M,R,80.0,(17)
Si,Reactive Ion Etching (RIE),pillar,50,390,130,0.13,,,0,P. fluorescens,-,M,R,60.0,(17)
Si,Reactive Ion Etching (RIE),pillar,70,680,180,0.10,,,0,P. fluorescens,-,M,R,70.0,(17)
Si,Reactive Ion Etching (RIE),pillar,220,3580,380,0.06,,,0,P. fluorescens,-,M,R,75.0,(17)
Si,Reactive Ion Etching (RIE),pillar,50,390,130,0.13,,,0,R. capsulatus,-,M,R,60.0,(17)
Si,Reactive Ion Etching (RIE),pillar,70,680,180,0.10,,,0,R. capsulatus,-,M,R,50.0,(17)
Si,Reactive Ion Etching (RIE),pillar,100,1150,280,0.09,,,0,R. capsulatus,-,M,R,65.0,(17)
Si,Reactive Ion Etching (RIE),pillar,170,2480,400,0.07,,,0,R. capsulatus,-,M,R,50.0,(17)
Si,Reactive Ion Etching (RIE),pillar,220,3580,380,0.06,,,0,R. capsulatus,-,M,R,70.0,(17)
Si,Reactive Ion Etching (RIE),pillar,320,4850,490,0.07,,,0,R. capsulatus,-,M,R,75.0,(17)
Si,Reactive Ion Etching (RIE),pillar,490,6670,600,0.07,,,0,R. capsulatus,-,M,R,70.0,(17)
Si,Reactive Ion Etching (RIE),pillar,50,390,130,0.13,,,0,E.coli,-,M,R,35.0,(17)
Si,Reactive Ion Etching (RIE),pillar,70,680,180,0.10,,,0,E.coli,-,M,R,65.0,(17)
Si,Reactive Ion Etching (RIE),pillar,100,1150,280,0.09,,,0,E.coli,-,M,R,45.0,(17)
Si,Reactive Ion Etching (RIE),pillar,170,2480,400,0.07,,,0,E.coli,-,M,R,50.0,(17)
Si,Reactive Ion Etching (RIE),pillar,220,3580,380,0.06,,,0,E.coli,-,M,R,75.0,(17)
Si,Reactive Ion Etching (RIE),pillar,320,4850,490,0.07,,,0,E.coli,-,M,R,70.0,(17)
Si,Reactive Ion Etching (RIE),pillar,490,6670,600,0.07,,,0,E.coli,-,M,R,81.0,(17)
Si H-bD(diamond-coated）,RIE + CVD Diamond coated & Surface terminated,pillar,300,3000,,0.10,,,55,E.coli,-,M,R,33.0,.(18)
Si O-bD(diamond-coated）,RIE + CVD Diamond coated & Surface terminated,pillar,300,3000,,0.10,,,5,E.coli,-,M,R,20.0,.(18)
