material,fab_method,shape,diameter_nm,height_nm,spacing_nm,aspect_ratio,Ra_nm,Rq_nm,WCA_deg,strain,gram,motility,cell_shape,BE_pct,ref
Ti,hydrothermal etching,sheet,90,,213.2,,,,34.1,S. aureus,+,N,S,21.1,(29)
Ti,hydrothermal etching,sheet,115,,229.4,,,,20,P. aeruginosa,-,M,R,100.0,(29)
Ti,hydrothermal etching,sheet,115,,229.4,,,,20,S. aureus,+,N,S,65.5,(29)
Ti,hydrothermal etching,sheet,120,,250,,,,21,P. aeruginosa,-,M,R,99.3,(29)
Ti,hydrothermal etching,sheet,120,,250,,,,21,S. aureus,+,N,S,71.4,(29)
Ti,hydrothermal etching,sheet,125,,316.2,,,,22,P. aeruginosa,-,M,R,98.8,(29)
Ti,hydrothermal etching,sheet,125,,316.2,,,,22,S. aureus,+,N,S,87.4,(29)
Ti,hydrothermal etching,sheet,124,,301.5,,,,15.5,P. aeruginosa,-,M,R,99.48,(29)
Ti,hydrothermal etching,sheet,124,,301.5,,,,15.5,S. aureus,+,N,S,71.35,(29)
Ti,hydrothermal etching,sheet,180,,333.3,,,,13.2,P. aeruginosa,-,M,R,40.7,(29)
Ti,hydrothermal etching,sheet,180,,333.3,,,,13.2,S. aureus,+,N,S,2.5,(29)
Si,metal-assisted chemical etching,cone,,1850,750,,,600,67.08,E.coli,-,M,R,55.0,(30)
Si,metal-assisted chemical etching,cone,,1850,750,,,600,67.08,B. subtilis,+,M,R,75.0,(30)
Si,electron beam induced deposition (EBID),pillar,28,21,40,1.33,,,,E.coli,-,M,R,0.0,(31)
Si,electron beam induced deposition (EBID),pillar,122,183,300,0.67,,,,E.coli,-,M,R,15.0,(31)
Si,electron beam induced deposition (EBID),pillar,124,188,299,0.66,,,,E.coli,-,M,R,8.0,(31)
Si,electron beam induced deposition (EBID),pillar,126,94,300,1.34,,,,E.coli,-,M,R,18.0,(31)
ZnO,hydrothermal growth,cone,47.78,1210,,0.04,,,,P. aeruginosa,-,M,R,85.0,(32)
ZnO,hydrothermal growth,cone,78.9,2250,,0.04,,,,P. aeruginosa,-,M,R,98.0,(32)
ZnO,hydrothermal growth,cone,125.63,3160,,0.04,,,,P. aeruginosa,-,M,R,82.0,(32)
polyethylene glycol dimethacrylate (PEGDMA),photopolymerization,pillar,500,500,500,1.00,,,52,E.coli,-,M,R,99.5,(33)
polyethylene glycol dimethacrylate (PEGDMA),photopolymerization,pillar,500,500,500,1.00,,,52,B. subtilis,+,M,R,98.9,(33)
ethyl acetate-polyDVBAPS,photopolymerization,cone,100,400,450,0.25,,,1.9,P. aeruginosa,-,M,R,98.0,(34)
ethyl acetate-polyDVBAPS,photopolymerization,cone,100,400,450,0.25,,,1.9,E.coli,-,M,R,98.0,(34)
ethyl acetate-polyDVBAPS,photopolymerization,cone,100,400,450,0.25,,,15.8,P. aeruginosa,-,M,R,98.0,(34)
ethyl acetate-polyDVBAPS,photopolymerization,cone,100,400,450,0.25,,,15.8,E.coli,-,M,R,98.0,(34)
ethyl acetate-polyDVBAPS,photopolymerization,cone,100,400,450,0.25,,,4.5,P. aeruginosa,-,M,R,98.0,(34)
ethyl acetate-polyDVBAPS,photopolymerization,cone,100,400,450,0.25,,,4.5,E.coli,-,M,R,98.0,(34)
Ti,electrochemical characterization,tube,70,550,70,0.13,,,52,E.coli,-,M,R,5.0,(35)
Ti,electrochemical characterization,tube,70,550,70,0.13,,,52,S. aureus,+,N,S,10.0,(35)
Ti,electrochemical characterization,tube,70,550,70,0.13,,,52,E.faecalis,+,N,S,5.0,(35)
Ti,electrochemical characterization,tube,70,550,70,0.13,,,52,P. aeruginosa,-,M,R,4.0,(35)
Ti,electrochemical characterization,tube,70,550,70,0.13,,,52,B. subtilis,+,M,R,4.0,(35)
Ti,electrochemical characterization,tube,70,550,70,0.13,,,14,E.coli,-,M,R,55.0,(35)
Ti,electrochemical characterization,tube,70,550,70,0.13,,,14,S. aureus,+,N,S,58.0,(35)
Ti,electrochemical characterization,tube,70,550,70,0.13,,,14,E.faecalis,+,N,S,50.0,(35)
Ti,electrochemical characterization,tube,70,550,70,0.13,,,14,P. aeruginosa,-,M,R,25.0,(35)
Ti,electrochemical characterization,tube,70,550,70,0.13,,,14,B. subtilis,+,M,R,58.0,(35)
Ti,electrochemical characterization,tube,70,550,70,0.13,,,42,E.coli,-,M,R,62.0,(35)
Ti,electrochemical characterization,tube,70,550,70,0.13,,,42,S. aureus,+,N,S,64.0,(35)
Ti,electrochemical characterization,tube,70,550,70,0.13,,,42,E.faecalis,+,N,S,60.0,(35)
Ti,electrochemical characterization,tube,70,550,70,0.13,,,42,P. aeruginosa,-,M,R,40.0,(35)
Ti,electrochemical characterization,tube,70,550,70,0.13,,,42,B. subtilis,+,M,R,65.0,(35)
Ti,hydrothermal treatment,cone,,300,,,,,,P. aeruginosa,-,M,R,74.0,(36)
Ti,hydrothermal treatment,cone,,300,,,,,,S. aureus,+,N,S,12.0,(36)
Ti,hydrothermal treatment,cone,,1125,,,,,,P. aeruginosa,-,M,R,76.0,(36)
Ti,hydrothermal treatment,cone,,1125,,,,,,S. aureus,+,N,S,51.0,(36)
Pd,hydrothermal method,cube,10,10,,1.00,,,,S. aureus,+,N,S,100.0,(37)
Pd,hydrothermal method,cube,10,10,,1.00,,,,E.coli,-,M,R,95.0,(37)
Pd,hydrothermal method,octahedral,10,10,,1.00,,,,S. aureus,+,N,S,80.0,(37)
Pd,hydrothermal method,octahedral,10,10,,1.00,,,,E.coli,-,M,R,98.0,(37)
PS-b-P2VP,self-assembly,pillar,66.05,27.5,,2.40,3,,,E.coli,-,M,R,80.0,(38)
PS-b-P2VP,self-assembly,pillar,66.05,27.5,,2.40,3,,,S. aureus,+,N,S,5.0,(38)
PS-b-P2VP,self-assembly,pillar,88.45,40.3,,2.19,4,,,E.coli,-,M,R,95.0,(38)
PS-b-P2VP,self-assembly,pillar,88.45,40.3,,2.19,4,,,S. aureus,+,N,S,20.0,(38)
Si,ultraviolet nanoimprint lithography,pillar,55,163,170,3.00,,,73.7,E.coli,-,M,R,64.0,(39)
Si,ultraviolet nanoimprint lithography,pillar,77,205,200,2.70,,,73.7,E.coli,-,M,R,79.0,(39)
Si,ultraviolet nanoimprint lithography,pillar,174,272,400,1.60,,,73.7,E.coli,-,M,R,8.0,(39)
Si,ultraviolet nanoimprint lithography,pillar,178,285,500,1.60,,,73.7,E.coli,-,M,R,5.0,(39)
Si,ultraviolet nanoimprint lithography,pillar,41,145,170,3.50,,,83.7,E.coli,-,M,R,82.0,(39)
Si,ultraviolet nanoimprint lithography,pillar,65,195,200,3.00,,,83.7,E.coli,-,M,R,50.8,(39)
Si,ultraviolet nanoimprint lithography,pillar,168,247,400,1.50,,,83.7,E.coli,-,M,R,18.0,(39)
Si,ultraviolet nanoimprint lithography,pillar,171,243,500,1.40,,,83.7,E.coli,-,M,R,5.0,(39)
Si,ultraviolet nanoimprint lithography,pillar,72,166,170,2.30,,,74,E.coli,-,M,R,20.0,(39)
Si,ultraviolet nanoimprint lithography,pillar,82,211,200,2.60,,,74,E.coli,-,M,R,7.0,(39)
Si,ultraviolet nanoimprint lithography,pillar,181,256,400,1.40,,,74,E.coli,-,M,R,12.0,(39)
Si,ultraviolet nanoimprint lithography,pillar,185,277,500,1.50,,,74,E.coli,-,M,R,6.0,(39)
Si,ultraviolet nanoimprint lithography,pillar,67,192,170,2.80,,,74,E.coli,-,M,R,8.0,(39)
Si,ultraviolet nanoimprint lithography,pillar,90,210,200,2.30,,,74,E.coli,-,M,R,5.0,(39)
Si,ultraviolet nanoimprint lithography,pillar,185,260,400,1.40,,,74,E.coli,-,M,R,11.0,(39)
Si,ultraviolet nanoimprint lithography,pillar,186,264,500,1.40,,,74,E.coli,-,M,R,10.0,(39)
PS-block-PMMA,Atomic Layer Deposition (ALD),pillar,44,11,66,4.00,2.8,,51,E.coli,-,M,R,95.0,(40)
TiO2,Atomic Layer Deposition (ALD),pillar,46,14,66,3.29,5.5,,52,E.coli,-,M,R,95.0,(40)
PS-block-PMMA,Atomic Layer Deposition (ALD),pillar,44,11,66,4.00,2.8,,51,L. monocytogenes,+,M,R,5.8,(40)
TiO2,Atomic Layer Deposition (ALD),pillar,46,14,66,3.29,5.5,,52,L. monocytogenes,+,M,R,69.9,(40)
ZnO,Hydrothermal growth,cone,118,200,,0.59,,,,E.coli,-,M,R,100.0,(41)
ZnO,Hydrothermal growth,cone,118,200,,0.59,,,,S. aureus,+,N,S,100.0,(41)
ZnO,Hydrothermal growth,cone,75.3,200,,0.38,,,,E.coli,-,M,R,100.0,(41)
ZnO,Hydrothermal growth,cone,75.3,200,,0.38,,,,S. aureus,+,N,S,100.0,(41)
ZnO,Hydrothermal growth,pillar,28.5,200,,0.14,,,,E.coli,-,M,R,100.0,(41)
ZnO,Hydrothermal growth,pillar,28.5,200,,0.14,,,,S. aureus,+,N,S,100.0,(41)
Si,ion etching,pillar,50.00,390,130,0.13,,,10,E.coli,-,M,R,33.0,(42)
Si,ion etching,pillar,50.00,390,130,0.13,,,10,R.capsulatus,-,M,S,75.0,(42)
Si,ion etching,cone,220.00,3600,380,0.06,,,10,E.coli,-,M,R,79.0,(42)
Si,ion etching,cone,220.00,3600,380,0.06,,,10,R.capsulatus,-,M,S,82.0,(42)
Si,ion etching,pillar,35,260,90,0.13,,,,S. aureus,+,N,S,80.0,(43)
Si,ion etching,pillar,35,260,90,0.13,,,,P. aeruginosa,-,M,R,89.0,(43)
Si,ion etching,pillar,90,260,90,0.35,,,,S. aureus,+,N,S,97.0,(43)
Si,ion etching,pillar,90,260,90,0.35,,,,P. aeruginosa,-,M,R,98.0,(43)
Ti,ion etching,spike,30,112,185,0.27,,,,E.coli,-,M,R,68.0,(44)
Ti,ion etching,spike,30,112,185,0.27,,,,P. aeruginosa,-,M,R,98.0,(44)
Ti,ion etching,spike,30,112,185,0.27,,,,S. aureus,+,N,S,30.0,(44)
Ti,ion etching,spike,94,185,190,0.51,,,,E.coli,-,M,R,76.0,(44)
Ti,ion etching,spike,94,185,190,0.51,,,,P. aeruginosa,-,M,R,95.0,(44)
Ti,ion etching,spike,94,185,190,0.51,,,,S. aureus,+,N,S,10.0,(44)
Ti,ion etching,spike,62,367,182,0.17,71.4,,7.6,E.coli,-,M,R,80.0,(44)
Ti,ion etching,spike,62,367,182,0.17,71.4,,7.6,P. aeruginosa,-,M,R,98.0,(44)
Ti,ion etching,spike,62,367,182,0.17,71.4,,7.6,S. aureus,+,N,S,55.0,(44)
