No.,Ref,Material 1,Formula,MagpieData mean Number,MagpieData mean Electronegativity,MagpieData mean AtomicRadius,MagpieData mean CovalentRadius,MagpieData mean Density,MagpieData mean Row,MagpieData mean Column,size (nm),Shape,Synthesis Method,zeta potential,bacteria,gram stain,motility,Oxygen Requirement,Shape.1,Arrangement,duration,temperature,MIC (ÃÂÃÂµg/mL),MIC_class,MIC_pred (ÃÂµg/mL),MBC_pred (Âµg/mL),MBC_pred (µg/mL)
26,,Ag,Ag,47,1.93,1.6,145,10490,5,11,2,Polyhedral,chemical synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,-17.492905,142.81245,668.2867
27,,Ag,Ag,47,1.93,1.6,145,10490,5,11,2,Polyhedral,Green synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,-18.931244,89.45929,487.80557
28,,Ag,Ag,47,1.93,1.6,145,10490,5,11,3,spherical,biosynthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,weak,186.13895,133.19112,505.37106
29,,Ag,Ag,47,1.93,1.6,145,10490,5,11,3,spherical,chemical synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,weak,67.68884,158.78685,668.2867
30,,Ag,Ag,47,1.93,1.6,145,10490,5,11,3,spherical,Green synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,weak,76.22248,118.02917,487.80557
31,,Ag,Ag,47,1.93,1.6,145,10490,5,11,3,rod,biosynthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,21.139673,94.48596,505.37106
32,,Ag,Ag,47,1.93,1.6,145,10490,5,11,3,rod,chemical synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,2.3225853,133.42097,668.2867
33,,Ag,Ag,47,1.93,1.6,145,10490,5,11,3,rod,Green synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,-18.714256,80.06779,487.80557
34,,Ag,Ag,47,1.93,1.6,145,10490,5,11,3,Polyhedral,biosynthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,20.922663,103.877464,505.37106
35,,Ag,Ag,47,1.93,1.6,145,10490,5,11,3,Polyhedral,chemical synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,-17.492905,142.81245,668.2867
36,,Ag,Ag,47,1.93,1.6,145,10490,5,11,3,Polyhedral,Green synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,-18.931244,89.45929,487.80557
37,,Ag,Ag,47,1.93,1.6,145,10490,5,11,4,spherical,biosynthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,weak,190.5773,133.19112,505.37106
38,,Ag,Ag,47,1.93,1.6,145,10490,5,11,4,spherical,chemical synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,weak,72.12719,158.78685,668.2867
39,,Ag,Ag,47,1.93,1.6,145,10490,5,11,4,spherical,Green synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,weak,80.66083,118.02917,487.80557
40,,Ag,Ag,47,1.93,1.6,145,10490,5,11,4,rod,biosynthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,25.578001,94.48596,505.37106
41,,Ag,Ag,47,1.93,1.6,145,10490,5,11,4,rod,chemical synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,6.760924,133.42097,668.2867
42,,Ag,Ag,47,1.93,1.6,145,10490,5,11,4,rod,Green synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,-14.275914,80.06779,487.80557
43,,Ag,Ag,47,1.93,1.6,145,10490,5,11,4,Polyhedral,biosynthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,25.360998,103.877464,505.37106
44,,Ag,Ag,47,1.93,1.6,145,10490,5,11,4,Polyhedral,chemical synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,-13.0545635,142.81245,668.2867
45,,Ag,Ag,47,1.93,1.6,145,10490,5,11,4,Polyhedral,Green synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,-14.492902,89.45929,487.80557
46,,Ag,Ag,47,1.93,1.6,145,10490,5,11,5,spherical,biosynthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,weak,190.5773,133.19112,505.37106
47,,Ag,Ag,47,1.93,1.6,145,10490,5,11,5,spherical,chemical synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,weak,72.12719,158.78685,668.2867
48,,Ag,Ag,47,1.93,1.6,145,10490,5,11,5,spherical,Green synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,weak,80.66083,118.02917,487.80557
49,,Ag,Ag,47,1.93,1.6,145,10490,5,11,5,rod,biosynthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,25.578001,94.48596,505.37106
50,,Ag,Ag,47,1.93,1.6,145,10490,5,11,5,rod,chemical synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,6.760924,133.42097,668.2867
51,,Ag,Ag,47,1.93,1.6,145,10490,5,11,5,rod,Green synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,-14.275914,80.06779,487.80557
52,,Ag,Ag,47,1.93,1.6,145,10490,5,11,5,Polyhedral,biosynthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,25.360998,103.877464,505.37106
53,,Ag,Ag,47,1.93,1.6,145,10490,5,11,5,Polyhedral,chemical synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,-13.0545635,142.81245,668.2867
54,,Ag,Ag,47,1.93,1.6,145,10490,5,11,5,Polyhedral,Green synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,-14.492902,89.45929,487.80557
55,,Ag,Ag,47,1.93,1.6,145,10490,5,11,6,spherical,biosynthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,weak,190.5773,133.19112,505.37106
56,,Ag,Ag,47,1.93,1.6,145,10490,5,11,6,spherical,chemical synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,weak,72.12719,158.78685,668.2867
57,,Ag,Ag,47,1.93,1.6,145,10490,5,11,6,spherical,Green synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,weak,80.66083,118.02917,487.80557
58,,Ag,Ag,47,1.93,1.6,145,10490,5,11,6,rod,biosynthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,25.578001,94.48596,505.37106
59,,Ag,Ag,47,1.93,1.6,145,10490,5,11,6,rod,chemical synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,6.760924,133.42097,668.2867
60,,Ag,Ag,47,1.93,1.6,145,10490,5,11,6,rod,Green synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,-14.275914,80.06779,487.80557
61,,Ag,Ag,47,1.93,1.6,145,10490,5,11,6,Polyhedral,biosynthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,25.360998,103.877464,505.37106
62,,Ag,Ag,47,1.93,1.6,145,10490,5,11,6,Polyhedral,chemical synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,-13.0545635,142.81245,668.2867
63,,Ag,Ag,47,1.93,1.6,145,10490,5,11,6,Polyhedral,Green synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,-14.492902,89.45929,487.80557
64,,Ag,Ag,47,1.93,1.6,145,10490,5,11,7,spherical,biosynthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,weak,190.5773,133.19112,505.37106
65,,Ag,Ag,47,1.93,1.6,145,10490,5,11,7,spherical,chemical synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,weak,72.12719,158.78685,689.07324
66,,Ag,Ag,47,1.93,1.6,145,10490,5,11,7,spherical,Green synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,weak,80.66083,118.02917,487.80557
67,,Ag,Ag,47,1.93,1.6,145,10490,5,11,7,rod,biosynthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,25.578001,94.48596,505.37106
68,,Ag,Ag,47,1.93,1.6,145,10490,5,11,7,rod,chemical synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,6.760924,133.42097,689.07324
69,,Ag,Ag,47,1.93,1.6,145,10490,5,11,7,rod,Green synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,-14.275914,80.06779,487.80557
