No.,Ref,Material 1,Formula,MagpieData mean Number,MagpieData range Number,MagpieData mean Electronegativity,MagpieData range Electronegativity,MagpieData mean MeltingT,MagpieData range MeltingT,MagpieData mean AtomicRadius,MagpieData range AtomicRadius,MagpieData mean AtomicVolume,MagpieData range AtomicVolume,MagpieData mean CovalentRadius,MagpieData range CovalentRadius,MagpieData mean ThermalConductivity,MagpieData range ThermalConductivity,MagpieData mean Density,MagpieData range Density,MagpieData mean FusionEnthalpy,MagpieData range FusionEnthalpy,MagpieData mean Row,MagpieData range Row,MagpieData mean Column,MagpieData range Column,size (nm),Shape,Synthesis Method,zeta potential,bacteria,gram stain,motility,Oxygen Requirement,Shape.1,Arrangement,duration,temperature,MIC (�g/mL),MIC_class
1,https://doi.org/10.1016/j.saa.2012.12.083,TiO2,TiO2,12.67,14,2.81,1.9,683.53,1886.2,0.87,0.8,12400.68,18574.56,97.33,94,7.35,21.97,1503.29,4505.57,4.86,13.93,2.67,2,12,12,45,spherical,biosynthesis,0,A. hydrophila,0,1,Facultative anaerobe,Rod,Singles,24,37,25,moderate
2,,TiO2,TiO2,12.67,14,2.81,1.9,683.53,1886.2,0.87,0.8,12400.68,18574.56,97.33,94,7.35,21.97,1503.29,4505.57,4.86,13.93,2.67,2,12,12,45,spherical,biosynthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,20,moderate
3,,TiO2,TiO2,12.67,14,2.81,1.9,683.53,1886.2,0.87,0.8,12400.68,18574.56,97.33,94,7.35,21.97,1503.29,4505.57,4.86,13.93,2.67,2,12,12,45,spherical,biosynthesis,0,P. aeruginosa,0,1,Obligate aerobe,Rod,Singles,24,37,30,moderate
4,,TiO2,TiO2,12.67,14,2.81,1.9,683.53,1886.2,0.87,0.8,12400.68,18574.56,97.33,94,7.35,21.97,1503.29,4505.57,4.86,13.93,2.67,2,12,12,45,spherical,biosynthesis,0,S. pyogenes,1,0,Facultative anaerobe,Coccus,Chains,24,37,10,strong
5,,TiO2,TiO2,12.67,14,2.81,1.9,683.53,1886.2,0.87,0.8,12400.68,18574.56,97.33,94,7.35,21.97,1503.29,4505.57,4.86,13.93,2.67,2,12,12,45,spherical,biosynthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,10,strong
6,,TiO2,TiO2,12.67,14,2.81,1.9,683.53,1886.2,0.87,0.8,12400.68,18574.56,97.33,94,7.35,21.97,1503.29,4505.57,4.86,13.93,2.67,2,12,12,45,spherical,biosynthesis,0,E. faecalis,1,0,Facultative anaerobe,Coccus,Pairs,24,37,15,moderate
7,https://doi.org/10.1016/j.saa.2012.01.011,TiO2,TiO2,12.67,14,2.81,1.9,683.53,1886.2,0.87,0.8,12400.68,18574.56,97.33,94,7.35,21.97,1503.29,4505.57,4.86,13.93,2.67,2,12,12,67,spherical,biosynthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,40,moderate
8,,TiO2,TiO2,12.67,14,2.81,1.9,683.53,1886.2,0.87,0.8,12400.68,18574.56,97.33,94,7.35,21.97,1503.29,4505.57,4.86,13.93,2.67,2,12,12,67,spherical,biosynthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,40,moderate
9,,TiO2,TiO2,12.67,14,2.81,1.9,683.53,1886.2,0.87,0.8,12400.68,18574.56,97.33,94,7.35,21.97,1503.29,4505.57,4.86,13.93,2.67,2,12,12,67,spherical,biosynthesis,0,P. aeruginosa,0,1,Obligate aerobe,Rod,Singles,24,37,80,moderate
10,,TiO2,TiO2,12.67,14,2.81,1.9,683.53,1886.2,0.87,0.8,12400.68,18574.56,97.33,94,7.35,21.97,1503.29,4505.57,4.86,13.93,2.67,2,12,12,67,spherical,biosynthesis,0,K. pneumoniae,0,0,Facultative anaerobe,Rod,Singles,24,37,709,weak
11,,TiO2,TiO2,12.67,14,2.81,1.9,683.53,1886.2,0.87,0.8,12400.68,18574.56,97.33,94,7.35,21.97,1503.29,4505.57,4.86,13.93,2.67,2,12,12,67,spherical,biosynthesis,0,B. subtilis,1,1,Facultative anaerobe,Rod,Chains,24,37,45,moderate
12,https://onlinelibrary.wiley.com/doi/epdf/10.1002/cbdv.202400724,ZnS,ZnS,23,14,2.12,0.93,540.52,304.32,1.18,0.35,21.19,11.96,113.5,17,60.1,119.8,4550,5180,4.39,5.35,3.5,1,14,4,3.63,irregular,chemical synthesis,1,E. faecalis,1,0,Facultative anaerobe,Coccus,Pairs,24,37,8,strong
13,,ZnS,ZnS,23,14,2.12,0.93,540.52,304.32,1.18,0.35,21.19,11.96,113.5,17,60.1,119.8,4550,5180,4.39,5.35,3.5,1,14,4,3.63,irregular,chemical synthesis,1,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,64,moderate
14,,ZnS,ZnS,23,14,2.12,0.93,540.52,304.32,1.18,0.35,21.19,11.96,113.5,17,60.1,119.8,4550,5180,4.39,5.35,3.5,1,14,4,3.63,irregular,chemical synthesis,1,P. aeruginosa ,0,1,Obligate aerobe,Rod,Singles,24,37,16,moderate
15,,ZnS,ZnS,23,14,2.12,0.93,540.52,304.32,1.18,0.35,21.19,11.96,113.5,17,60.1,119.8,4550,5180,4.39,5.35,3.5,1,14,4,3.63,irregular,chemical synthesis,1,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,4,strong
16,,ZnS,ZnS,23,14,2.12,0.93,540.52,304.32,1.18,0.35,21.19,11.96,113.5,17,60.1,119.8,4550,5180,4.39,5.35,3.5,1,14,4,3.63,irregular,chemical synthesis,0,S. enteritidis ,0,1,Facultative anaerobe,Rod,Singles,24,37,1,strong
17,,ZnS,ZnS,23,14,2.12,0.93,540.52,304.32,1.18,0.35,21.19,11.96,113.5,17,60.1,119.8,4550,5180,4.39,5.35,3.5,1,14,4,3.63,irregular,chemical synthesis,1,K. pneumoniae,0,0,Facultative anaerobe,Rod,Singles,24,37,0.5,strong
18,,ZnS,ZnS,23,14,2.12,0.93,540.52,304.32,1.18,0.35,21.19,11.96,113.5,17,60.1,119.8,4550,5180,4.39,5.35,3.5,1,14,4,3.63,irregular,chemical synthesis,1,A. baumannii,0,0,Obligate aerobe,Coccobacillus,Singles,24,37,32,moderate
19,,ZnS,ZnS,23,14,2.12,0.93,540.52,304.32,1.18,0.35,21.19,11.96,113.5,17,60.1,119.8,4550,5180,4.39,5.35,3.5,1,14,4,3.63,irregular,chemical synthesis,1,S. typhimurium,0,1,Facultative anaerobe,Rod,Singles,24,37,16,moderate
20,,ZnS,ZnS,23,14,2.12,0.93,540.52,304.32,1.18,0.35,21.19,11.96,113.5,17,60.1,119.8,4550,5180,4.39,5.35,3.5,1,14,4,3.63,irregular,chemical synthesis,1,C. albicans,1,0,Facultative anaerobe,Oval ,Singles,24,37,1,strong
21,,ZnO-TOP (ZnO-Trioctylphosphine),ZnO,19,22,2.54,1.79,373.74,637.88,0.98,0.75,9303.7,18576.99,94,56,60.01,119.97,3570.71,7138.57,3.64,6.85,3,2,14,4,16.28,irregular,chemical synthesis,1,E. faecalis ,1,0,Facultative anaerobe,Coccus,Pairs,24,37,32,moderate
22,,ZnO-TOP,ZnO,19,22,2.54,1.79,373.74,637.88,0.98,0.75,9303.7,18576.99,94,56,60.01,119.97,3570.71,7138.57,3.64,6.85,3,2,14,4,16.28,irregular,chemical synthesis,1,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,8,strong
23,,ZnO-TOP,ZnO,19,22,2.54,1.79,373.74,637.88,0.98,0.75,9303.7,18576.99,94,56,60.01,119.97,3570.71,7138.57,3.64,6.85,3,2,14,4,16.28,irregular,chemical synthesis,1,P. aeruginosa,0,1,Obligate aerobe,Rod,Singles,24,37,4,strong
24,,ZnO-TOP,ZnO,19,22,2.54,1.79,373.74,637.88,0.98,0.75,9303.7,18576.99,94,56,60.01,119.97,3570.71,7138.57,3.64,6.85,3,2,14,4,16.28,irregular,chemical synthesis,1,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,8,strong
25,,ZnO-TOP,ZnO,19,22,2.54,1.79,373.74,637.88,0.98,0.75,9303.7,18576.99,94,56,60.01,119.97,3570.71,7138.57,3.64,6.85,3,2,14,4,16.28,irregular,chemical synthesis,0,S. enteritidis ,0,1,Facultative anaerobe,Rod,Singles,24,37,16,moderate
26,,ZnO-TOP,ZnO,19,22,2.54,1.79,373.74,637.88,0.98,0.75,9303.7,18576.99,94,56,60.01,119.97,3570.71,7138.57,3.64,6.85,3,2,14,4,16.28,irregular,chemical synthesis,1,K. pneumoniae,0,0,Facultative anaerobe,Rod,Singles,24,37,1,strong
27,,ZnO-TOP,ZnO,19,22,2.54,1.79,373.74,637.88,0.98,0.75,9303.7,18576.99,94,56,60.01,119.97,3570.71,7138.57,3.64,6.85,3,2,14,4,16.28,irregular,chemical synthesis,1,A. baumannii,0,0,Obligate aerobe,Coccobacillus,Singles,24,37,16,moderate
28,,ZnO-TOP,ZnO,19,22,2.54,1.79,373.74,637.88,0.98,0.75,9303.7,18576.99,94,56,60.01,119.97,3570.71,7138.57,3.64,6.85,3,2,14,4,16.28,irregular,chemical synthesis,1,Salmonella typhimurium,0,1,Facultative anaerobe,Rod,Singles,24,37,32,moderate
29,,ZnO-TOP,ZnO,19,22,2.54,1.79,373.74,637.88,0.98,0.75,9303.7,18576.99,94,56,60.01,119.97,3570.71,7138.57,3.64,6.85,3,2,14,4,16.28,irregular,chemical synthesis,1,C. albicans,1,0,Facultative anaerobe,Oval ,Singles,24,37,0.5,strong
30,https://doi.org/10.1002/jbm.b.35197,СeO2,CeO2,24.67,50,2.67,2.32,393.53,1016.2,1.02,1.25,12406.39,18557.41,112,138,3.68,10.97,2230.62,6687.57,1.97,5.24,3.33,4,11.67,13,1.5,spherical,chemical synthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,128,weak
31,,СeO2,CeO2,24.67,50,2.67,2.32,393.53,1016.2,1.02,1.25,12406.39,18557.41,112,138,3.68,10.97,2230.62,6687.57,1.97,5.24,3.33,4,11.67,13,1.5,spherical,chemical synthesis,0,P. aeruginosa,0,1,Obligate aerobe,Rod,Singles,24,37,256000,weak
32,,СeO2,CeO2,24.67,50,2.67,2.32,393.53,1016.2,1.02,1.25,12406.39,18557.41,112,138,3.68,10.97,2230.62,6687.57,1.97,5.24,3.33,4,11.67,13,1.5,spherical,chemical synthesis,0,L. pneumophilia subsp. pneumophila,0,1,Obligate aerobe,Rod,Singles,24,37,256000,weak
33,,СeO2,CeO2,24.67,50,2.67,2.32,393.53,1016.2,1.02,1.25,12406.39,18557.41,112,138,3.68,10.97,2230.62,6687.57,1.97,5.24,3.33,4,11.67,13,1.5,spherical,chemical synthesis,0,E. hirae,1,0,Facultative anaerobe,Coccus,Pairs,24,37,128000,weak
34,,СeO2,CeO2,24.67,50,2.67,2.32,393.53,1016.2,1.02,1.25,12406.39,18557.41,112,138,3.68,10.97,2230.62,6687.57,1.97,5.24,3.33,4,11.67,13,1.5,spherical,chemical synthesis,0,E. fecalis,1,0,Facultative anaerobe,Coccus,Pairs,24,37,128000,weak
35,,СeO2,CeO2,24.67,50,2.67,2.32,393.53,1016.2,1.02,1.25,12406.39,18557.41,112,138,3.68,10.97,2230.62,6687.57,1.97,5.24,3.33,4,11.67,13,1.5,spherical,chemical synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,128000,weak
36,,СeO2,CeO2,24.67,50,2.67,2.32,393.53,1016.2,1.02,1.25,12406.39,18557.41,112,138,3.68,10.97,2230.62,6687.57,1.97,5.24,3.33,4,11.67,13,1.5,spherical,chemical synthesis,0,C. parapisilosis,1,0,Facultative anaerobe,Oval ,Singles,24,37,256000,weak
37,,СeO2,CeO2,24.67,50,2.67,2.32,393.53,1016.2,1.02,1.25,12406.39,18557.41,112,138,3.68,10.97,2230.62,6687.57,1.97,5.24,3.33,4,11.67,13,1.5,spherical,chemical synthesis,0,C. tropicalis,1,0,Facultative anaerobe,Oval ,Singles,24,37,256000,weak
38,,СeO2,CeO2,24.67,50,2.67,2.32,393.53,1016.2,1.02,1.25,12406.39,18557.41,112,138,3.68,10.97,2230.62,6687.57,1.97,5.24,3.33,4,11.67,13,11,spherical,chemical synthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,128000,weak
39,,СeO2,CeO2,24.67,50,2.67,2.32,393.53,1016.2,1.02,1.25,12406.39,18557.41,112,138,3.68,10.97,2230.62,6687.57,1.97,5.24,3.33,4,11.67,13,11,spherical,chemical synthesis,0,P. aeruginosa,0,1,Obligate aerobe,Rod,Singles,24,37,256000,weak
40,,СeO2,CeO2,24.67,50,2.67,2.32,393.53,1016.2,1.02,1.25,12406.39,18557.41,112,138,3.68,10.97,2230.62,6687.57,1.97,5.24,3.33,4,11.67,13,11,spherical,chemical synthesis,0,L. pneumophilia subsp. pneumophila,0,1,Obligate aerobe,Rod,Singles,24,37,256000,weak
41,,СeO2,CeO2,24.67,50,2.67,2.32,393.53,1016.2,1.02,1.25,12406.39,18557.41,112,138,3.68,10.97,2230.62,6687.57,1.97,5.24,3.33,4,11.67,13,11,spherical,chemical synthesis,0,E. hirae,1,0,Facultative anaerobe,Coccus,Pairs,24,37,128000,weak
42,,СeO2,CeO2,24.67,50,2.67,2.32,393.53,1016.2,1.02,1.25,12406.39,18557.41,112,138,3.68,10.97,2230.62,6687.57,1.97,5.24,3.33,4,11.67,13,11,spherical,chemical synthesis,0,E. fecalis,1,0,Facultative anaerobe,Coccus,Pairs,24,37,256000,weak
43,,СeO2,CeO2,24.67,50,2.67,2.32,393.53,1016.2,1.02,1.25,12406.39,18557.41,112,138,3.68,10.97,2230.62,6687.57,1.97,5.24,3.33,4,11.67,13,11,spherical,chemical synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,256000,weak
44,,СeO2,CeO2,24.67,50,2.67,2.32,393.53,1016.2,1.02,1.25,12406.39,18557.41,112,138,3.68,10.97,2230.62,6687.57,1.97,5.24,3.33,4,11.67,13,11,spherical,chemical synthesis,0,C. parapisilosis,1,0,Facultative anaerobe,Oval ,Singles,24,37,256000,weak
45,,СeO2,CeO2,24.67,50,2.67,2.32,393.53,1016.2,1.02,1.25,12406.39,18557.41,112,138,3.68,10.97,2230.62,6687.57,1.97,5.24,3.33,4,11.67,13,11,spherical,chemical synthesis,0,C. tropicalis,1,0,Facultative anaerobe,Oval ,Singles,24,37,256000,weak
46,https://pubs.acs.org/doi/10.1021/acsabm.3c00090,CuSe,CuSe,31.5,5,2.22,0.65,925.88,863.77,1.25,0.2,19.52,15.38,126,12,200.26,399.48,6869.5,4101,10.14,6.91,4,0,13.5,5,12,spherical,chemical synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,2.5,strong
47,,CuSe,CuSe,31.5,5,2.22,0.65,925.88,863.77,1.25,0.2,19.52,15.38,126,12,200.26,399.48,6869.5,4101,10.14,6.91,4,0,13.5,5,12,spherical,chemical synthesis,0,P. aeruginosa,0,1,Obligate aerobe,Rod,Singles,24,37,3.75,strong
48,,CuSe,CuSe,31.5,5,2.22,0.65,925.88,863.77,1.25,0.2,19.52,15.38,126,12,200.26,399.48,6869.5,4101,10.14,6.91,4,0,13.5,5,12,spherical,chemical synthesis,0,P. vulgaris,0,1,Facultative anaerobe,Rod,Singles,24,37,5,strong
49,,CuSe,CuSe,31.5,5,2.22,0.65,925.88,863.77,1.25,0.2,19.52,15.38,126,12,200.26,399.48,6869.5,4101,10.14,6.91,4,0,13.5,5,12,spherical,chemical synthesis,0,E. aerogenes,0,1,Facultative anaerobe,Rod,Singles,24,37,0.625,strong
50,,CuSe,CuSe,31.5,5,2.22,0.65,925.88,863.77,1.25,0.2,19.52,15.38,126,12,200.26,399.48,6869.5,4101,10.14,6.91,4,0,13.5,5,12,spherical,chemical synthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,5,strong
51,10.1088/1748-605X/acd03f,Ag,Ag,47,0,1.93,0,1234.93,0,1.6,0,17.08,0,145,0,430,0,10490,0,11.3,0,5,0,11,0,80,spherical,chemical synthesis,0,S. aureus ,1,0,Facultative anaerobe,Coccus,clusters,24,37,625,weak
52,,Ag,Ag,47,0,1.93,0,1234.93,0,1.6,0,17.08,0,145,0,430,0,10490,0,11.3,0,5,0,11,0,80,spherical,chemical synthesis,0,E. coli ,0,1,Facultative anaerobe,Rod,Singles,24,37,1260,weak
53,,Co,Co,27,0,1.88,0,1768,0,1.35,0,11,0,126,0,100,0,8900,0,16.2,0,4,0,9,0,28,spherical,chemical synthesis,0,S. aureus ,1,0,Facultative anaerobe,Coccus,clusters,24,37,5000,weak
54,,Co,Co,27,0,1.88,0,1768,0,1.35,0,11,0,126,0,100,0,8900,0,16.2,0,4,0,9,0,28,spherical,chemical synthesis,0,E. coli ,0,1,Facultative anaerobe,Rod,Singles,24,37,5000,weak
55,,Cu,Cu,29,0,1.9,0,1357.77,0,1.35,0,11.83,0,132,0,400,0,8920,0,13.6,0,4,0,11,0,65,spherical,chemical synthesis,0,S. aureus ,1,0,Facultative anaerobe,Coccus,clusters,24,37,1250,weak
56,,Cu,Cu,29,0,1.9,0,1357.77,0,1.35,0,11.83,0,132,0,400,0,8920,0,13.6,0,4,0,11,0,65,spherical,chemical synthesis,0,E. coli ,0,1,Facultative anaerobe,Rod,Singles,24,37,1250,weak
57,,Zn,Zn,30,0,1.65,0,692.68,0,1.35,0,15.21,0,122,0,120,0,7140,0,7.07,0,4,0,12,0,80,spherical,chemical synthesis,0,S. aureus ,1,0,Facultative anaerobe,Coccus,clusters,24,37,625,weak
58,,Zn,Zn,30,0,1.65,0,692.68,0,1.35,0,15.21,0,122,0,120,0,7140,0,7.07,0,4,0,12,0,80,spherical,chemical synthesis,0,E. coli ,0,1,Facultative anaerobe,Rod,Singles,24,37,1250,weak
59,10.1007/s12088-013-0437-5,Ag,Ag,47,0,1.93,0,1234.93,0,1.6,0,17.08,0,145,0,430,0,10490,0,11.3,0,5,0,11,0,22.5,spherical,Green synthesis ,0,A. hydrophila,0,1,Facultative anaerobe,Rod,Singles,24,37,250,weak
60,,Ag,Ag,47,0,1.93,0,1234.93,0,1.6,0,17.08,0,145,0,430,0,10490,0,11.3,0,5,0,11,0,22.5,spherical,Green synthesis ,0,A. bestiarum,0,1,Facultative anaerobe,Rod,Singles,24,37,312,weak
61,,Ag,Ag,47,0,1.93,0,1234.93,0,1.6,0,17.08,0,145,0,430,0,10490,0,11.3,0,5,0,11,0,22.5,spherical,Green synthesis ,0,P. fluorescens,0,1,Obligate aerobe,Rod,Singles,24,37,180,weak
62,,Ag,Ag,47,0,1.93,0,1234.93,0,1.6,0,17.08,0,145,0,430,0,10490,0,11.3,0,5,0,11,0,22.5,spherical,Green synthesis ,0,E. tarda,0,1,Facultative anaerobe,Rod,Singles,24,37,124,weak
63,,Au,Au,79,0,2.54,0,1337.33,0,1.35,0,16.95,0,136,0,320,0,19300,0,12.55,0,6,0,11,0,22.5,spherical,Green synthesis ,1,A. bestiarum,0,1,Facultative anaerobe,Rod,Singles,24,37,294,weak
64,,Au,Au,79,0,2.54,0,1337.33,0,1.35,0,16.95,0,136,0,320,0,19300,0,12.55,0,6,0,11,0,22.5,spherical,Green synthesis ,1,P. fluorescens,0,1,Obligate aerobe,Rod,Singles,24,37,386,weak
65,https://doi.org/10.1016/j.jrras.2015.10.002,Ag,Ag,47,0,1.93,0,1234.93,0,1.6,0,17.08,0,145,0,430,0,10490,0,11.3,0,5,0,11,0,25,spherical,Green synthesis ,0,B. cereus,1,1,Facultative anaerobe,Rod,Chains,24,37,284,weak
66,,Ag,Ag,47,0,1.93,0,1234.93,0,1.6,0,17.08,0,145,0,430,0,10490,0,11.3,0,5,0,11,0,25,spherical,Green synthesis ,0,B. subtilis,1,1,Facultative anaerobe,Rod,Chains,24,37,376,weak
67,https://doi.org/10.1515/ntrev-2016-0064,Au,Au,79,0,2.54,0,1337.33,0,1.35,0,16.95,0,136,0,320,0,19300,0,12.55,0,6,0,11,0,10,spherical,Green synthesis ,1,E. coli ,0,1,Facultative anaerobe,Rod,Singles,24,37,50.99,moderate
68,,Au,Au,79,0,2.54,0,1337.33,0,1.35,0,16.95,0,136,0,320,0,19300,0,12.55,0,6,0,11,0,10,spherical,Green synthesis ,1,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,198.2,weak
69,https://link.springer.com/article/10.1007/s13204-015-0460-4,Au,Au,79,0,2.54,0,1337.33,0,1.35,0,16.95,0,136,0,320,0,19300,0,12.55,0,6,0,11,0,17,spherical,Green synthesis ,0,S. aureus ,1,0,Facultative anaerobe,Coccus,clusters,24,37,25,moderate
70,,Au,Au,79,0,2.54,0,1337.33,0,1.35,0,16.95,0,136,0,320,0,19300,0,12.55,0,6,0,11,0,17,spherical,Green synthesis ,0,K. pneumoniae,0,0,Facultative anaerobe,Rod,Singles,24,37,50,moderate
71,https://pubs.rsc.org/en/content/articlelanding/2015/ra/c4ra12784f,ZnO,ZnO,19,22,2.54,1.79,373.74,637.88,0.98,0.75,9303.7,18576.99,94,56,60.01,119.97,3570.71,7138.57,3.64,6.85,3,2,14,4,55,rod,Green synthesis ,0,E. coli ,0,1,Facultative anaerobe,Rod,Singles,24,37,24,moderate
72,,ZnO,ZnO,19,22,2.54,1.79,373.74,637.88,0.98,0.75,9303.7,18576.99,94,56,60.01,119.97,3570.71,7138.57,3.64,6.85,3,2,14,4,55,rod,Green synthesis ,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,50,moderate
