No.,Ref,Material 1,Formula,MagpieData mean Number,MagpieData range Number,MagpieData mean Electronegativity,MagpieData range Electronegativity,MagpieData mean MeltingT,MagpieData range MeltingT,MagpieData mean AtomicRadius,MagpieData range AtomicRadius,MagpieData mean AtomicVolume,MagpieData range AtomicVolume,MagpieData mean CovalentRadius,MagpieData range CovalentRadius,MagpieData mean ThermalConductivity,MagpieData range ThermalConductivity,MagpieData mean Density,MagpieData range Density,MagpieData mean FusionEnthalpy,MagpieData range FusionEnthalpy,MagpieData mean Row,MagpieData range Row,MagpieData mean Column,MagpieData range Column,size (nm),Shape,Synthesis Method,zeta potential,bacteria,gram stain,motility,Oxygen Requirement,Shape.1,Arrangement,duration,temperature,MIC (�g/mL),MIC_class
318,,ZnO,ZnO,19,22,2.54,1.79,373.74,637.88,0.98,0.75,9303.7,18576.99,94,56,60.01,119.97,3570.71,7138.57,3.64,6.85,3,2,14,4,50,spherical,chemical synthesis,,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,3000,weak
319,,ZnO,ZnO,19,22,2.54,1.79,373.74,637.88,0.98,0.75,9303.7,18576.99,94,56,60.01,119.97,3570.71,7138.57,3.64,6.85,3,2,14,4,50,spherical,chemical synthesis,,P. fluorescens,0,1,Obligate aerobe,Rod,Singles,24,37,1000,weak
320,,ZnO,ZnO,19,22,2.54,1.79,373.74,637.88,0.98,0.75,9303.7,18576.99,94,56,60.01,119.97,3570.71,7138.57,3.64,6.85,3,2,14,4,50,spherical,chemical synthesis,,L. monocytogenes,1,0,Facultative anaerobe,Rod,Singles,24,37,2000,weak
321,https://doi.org/10.1016/j.talanta.2019.120243,Carbon ,C,6,0,2.55,0,3823,0,0.7,0,8.83,0,76,0,140,0,2260,0,117.4,0,2,0,14,0,3.8,spherical,chemical synthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,192,weak
322,,Carbon ,C,6,0,2.55,0,3823,0,0.7,0,8.83,0,76,0,140,0,2260,0,117.4,0,2,0,14,0,3.8,spherical,chemical synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,384,weak
323,,Carbon ,C,6,0,2.55,0,3823,0,0.7,0,8.83,0,76,0,140,0,2260,0,117.4,0,2,0,14,0,3.8,spherical,chemical synthesis,0,B. subtilis,1,1,Facultative anaerobe,Rod,Chains,24,37,768,weak
324,https://doi.org/10.1007/s11274-017-2406-3,Ag,Ag,47,0,1.93,0,1234.93,0,1.6,0,17.08,0,145,0,430,0,10490,0,11.3,0,5,0,11,0,12.5,spherical,biosynthesis,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,64,moderate
325,,Ag,Ag,47,0,1.93,0,1234.93,0,1.6,0,17.08,0,145,0,430,0,10490,0,11.3,0,5,0,11,0,12.5,spherical,biosynthesis,0,K. pneumoniae,0,0,Facultative anaerobe,Rod,Singles,24,37,256,weak
326,,Ag,Ag,47,0,1.93,0,1234.93,0,1.6,0,17.08,0,145,0,430,0,10490,0,11.3,0,5,0,11,0,12.5,spherical,biosynthesis,0,P. aeruginosa,0,1,Obligate aerobe,Rod,Singles,24,37,16,moderate
327,,Ag,Ag,47,0,1.93,0,1234.93,0,1.6,0,17.08,0,145,0,430,0,10490,0,11.3,0,5,0,11,0,12.5,spherical,biosynthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,256,weak
328,,Ag,Ag,47,0,1.93,0,1234.93,0,1.6,0,17.08,0,145,0,430,0,10490,0,11.3,0,5,0,11,0,12.5,spherical,biosynthesis,0,B. subtilis,1,1,Facultative anaerobe,Rod,Chains,24,37,64,moderate
329,https://doi.org/10.4274/tjps.52724,Cu,Cu,29,0,1.9,0,1357.77,0,1.35,0,11.83,0,132,0,400,0,8920,0,13.6,0,4,0,11,0,100,spherical,Green synthesis ,0,P. mirabilis,0,1,Facultative anaerobe,Rod,Singles,24,37,700,weak
330,,Cu,Cu,29,0,1.9,0,1357.77,0,1.35,0,11.83,0,132,0,400,0,8920,0,13.6,0,4,0,11,0,100,spherical,Green synthesis ,0,Staphylococcus saprophyticus,1,0,Facultative anaerobe,Coccus,clusters,24,37,700,weak
331,,Cu,Cu,29,0,1.9,0,1357.77,0,1.35,0,11.83,0,132,0,400,0,8920,0,13.6,0,4,0,11,0,100,spherical,Green synthesis ,0,S. pyogenes,1,0,Facultative anaerobe,Coccus,Chains,24,37,700,weak
332,,Cu,Cu,29,0,1.9,0,1357.77,0,1.35,0,11.83,0,132,0,400,0,8920,0,13.6,0,4,0,11,0,100,spherical,Green synthesis ,0,P. aeruginosa,0,1,Obligate aerobe,Rod,Singles,24,37,700,weak
333,https://doi.org/10.1039/c8tx00267c,ZnO,ZnO,19,22,2.54,1.79,373.74,637.88,0.98,0.75,9303.7,18576.99,94,56,60.01,119.97,3570.71,7138.57,3.64,6.85,3,2,14,4,33.5,spherical,Green synthesis ,0,E. coli,0,1,Facultative anaerobe,Rod,Singles,24,37,1000,weak
334,,ZnO,ZnO,19,22,2.54,1.79,373.74,637.88,0.98,0.75,9303.7,18576.99,94,56,60.01,119.97,3570.71,7138.57,3.64,6.85,3,2,14,4,33.5,spherical,Green synthesis ,0,K. pneumoniae,0,0,Facultative anaerobe,Rod,Singles,24,37,500,weak
335,,ZnO,ZnO,19,22,2.54,1.79,373.74,637.88,0.98,0.75,9303.7,18576.99,94,56,60.01,119.97,3570.71,7138.57,3.64,6.85,3,2,14,4,33.5,spherical,Green synthesis ,0,P. aeruginosa,0,1,Obligate aerobe,Rod,Singles,24,37,1000,weak
336,,ZnO,ZnO,19,22,2.54,1.79,373.74,637.88,0.98,0.75,9303.7,18576.99,94,56,60.01,119.97,3570.71,7138.57,3.64,6.85,3,2,14,4,33.5,spherical,Green synthesis ,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,1000,weak
337,https://doi.org/10.1016/j.micpath.2024.106546,Au,Au,79,0,2.54,0,1337.33,0,1.35,0,16.95,0,136,0,320,0,19300,0,12.55,0,6,0,11,0,154.74,Polyhedral,Green synthesis ,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,512,weak
